0B94D00000049A58 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=18446744072384995195 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000000051812 [ 38 ADV_IND         crc=1 sig=    24/255 len=46 t=  63174 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000000075EBB [ 39 ADV_IND         crc=1 sig=    17/255 len=46 t= 298192 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000000081C5B [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  97133 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000000081DFE [ 38 ADV_IND         crc=1 sig=    23/255 len=46 t=    838 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000000008E7C8 [ 39 ADV_IND         crc=1 sig=    18/255 len=46 t= 103289 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000965B5 [ 37 ADV_IND         crc=1 sig=    26/255 len=46 t=  64475 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000000A57A0 [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t= 123882 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000A5942 [ 38 ADV_IND         crc=1 sig=    19/255 len=46 t=    827 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000B209D [ 39 ADV_IND         crc=1 sig=    21/255 len=46 t= 102086 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000BE0FE [ 37 ADV_IND         crc=1 sig=    19/255 len=46 t=  98662 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000CA863 [ 38 ADV_IND         crc=1 sig=    20/255 len=46 t= 101918 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000CED79 [ 39 ADV_IND         crc=1 sig=    25/255 len=46 t=  35384 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000000D6817 [ 39 ADV_IND         crc=1 sig=    22/255 len=46 t=  62796 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000000E16E8 [ 37 ADV_IND         crc=1 sig=    26/255 len=46 t=  89503 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000000E2D0B [ 37 ADV_IND         crc=1 sig=    17/255 len=46 t=  11314 AdvA=CCB11A8AC6F5 content=%uB@O$W
