000000001EBFF824 [ 37 ADV_IND         crc=1 sig=    41/128 len=46 t=18446744073387812376 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001ED8352A [ 37 ADV_IND         crc=1 sig=    41/128 len=46 t= 104556 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001EE1AB26 [ 37 ADV_IND         crc=1 sig=    80/128 len=46 t=  42268 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001EEE66FA [ 37 ADV_IND         crc=1 sig=    41/128 len=46 t=  60955 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001F1BB67E [ 37 ADV_IND         crc=0 sig=    41/128 len=46 t= 181088 AdvA=CCB11A8AC6F7 content=%uB@O$W
000000001F29C0C2 [ 37 ADV_IND         crc=1 sig=    79/128 len=46 t=  61645 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001F3271CE [ 37 ADV_IND         crc=0 sig=    41/128 len=46 t=  45294 AdvA=CCB11A8BC675 content=%uuB@O$W
000000001F4C5BC0 [ 37 ADV_IND         crc=1 sig=    79/128 len=46 t= 113973 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001F5DA42A [ 37 ADV_IND         crc=0 sig=    41/128 len=46 t=  75037 AdvA=CCA11A8AC6F5 content=%uBF@O:$W
000000001F6FA69E [ 37 ADV_IND         crc=1 sig=    80/128 len=46 t=  76738 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001F73F498 [ 37 ADV_IND         crc=1 sig=    41/128 len=46 t=  25241 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001F9C1D56 [ 37 ADV_IND         crc=1 sig=    42/128 len=46 t= 203156 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001FAED61A [ 37 ADV_IND         crc=1 sig=    79/128 len=46 t=  73903 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000001FB30E08 [ 37 ADV_IND         crc=0 sig=    38/128 len=46 t=  21730 AdvA=CCB11A8AC6F5 content=%u+z+<Y%8<UgM
000000001FCA3284 [ 37 ADV_IND         crc=1 sig=    41/128 len=46 t= 102290 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001FD2C038 [ 37 ADV_IND         crc=1 sig=    79/128 len=46 t=  39936 AdvA=78BDBCCFAB3E content=%>xuBx>z:
libusb_control_transfer: HACKRF_VENDOR_REQUEST_BTLE_CHANNEL: 38
000000001FE11B66 [ 38 ADV_IND         crc=1 sig=    46/128 len=46 t=  54052 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001FF8E734 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t= 104675 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000001FF91C7E [ 38 SCAN_RSP        crc=1 sig=    45/128 len=46 t=  13075 AdvA=CCB11A8AC6F5  content=%[TV] Samsung 5 Series (55)\}
00000000200EA38A [ 38 ADV_IND         crc=0 sig=    46/128 len=46 t=  81911 AdvA=CCB11A8AC6F5 content=%uB@O:$W
000000002018B272 [ 38 ADV_IND         crc=1 sig=    68/128 len=46 t=  35322 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002026714A [ 38 ADV_IND         crc=0 sig=    45/128 len=46 t=  61714 AdvA=CCB11A8AC6F5 content=%uBBO$W
00000000203D5150 [ 38 ADV_IND         crc=1 sig=    68/128 len=46 t=  92004 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000203F7762 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  10883 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000205FBC8C [ 38 ADV_IND         crc=1 sig=    69/128 len=46 t= 136204 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000206D77B2 [ 38 ADV_IND         crc=0 sig=    45/128 len=46 t=  61900 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002083502A [ 38 ADV_IND         crc=1 sig=    68/128 len=46 t=  99477 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000209AD7F2 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t= 108796 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000020A86FAA [ 38 ADV_IND         crc=1 sig=    68/128 len=46 t=  43107 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000020B320B4 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  48595 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000020CB59A6 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t= 104317 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000020CCDDC6 [ 38 ADV_IND         crc=0 sig=    69/128 len=46 t=  17743 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000020F19C46 [ 38 ADV_IND         crc=1 sig=    69/128 len=46 t= 134893 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000020F8A34E [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  34065 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002110B21A [ 38 ADV_IND         crc=0 sig=    45/128 len=46 t=  98044 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021162EA2 [ 38 ADV_IND         crc=1 sig=    68/128 len=46 t=  31211 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002127B0DA [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  62073 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000213A4D20 [ 38 ADV_IND         crc=1 sig=    69/128 len=46 t=  79687 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000213FF824 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  22929 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000216E9D14 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t= 214412 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002181241C [ 38 ADV_IND         crc=1 sig=    69/128 len=46 t=  63957 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002186A380 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  26682 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000219F56BC [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t= 105277 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021A5F4F8 [ 38 ADV_IND         crc=1 sig=    67/128 len=46 t=  23649 AdvA=78BDBCCFAB3E content=%>xuBx>z:

0000000021B6227E [ 38 ADV_IND         crc=0 sig=    45/128 len=46 t=  62376 AdvA=CCB11A8AC6F5 content=%uB@ON$W
libusb_control_transfer: HACKRF_VENDOR_REQUEST_BTLE_CHANNEL: 39
0000000021CAEED6 [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  90738 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000021CE513E [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  19257 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021E3D00E [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t= 105967 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021EB1934 [ 39 ADV_IND         crc=1 sig=    81/128 len=46 t=  26042 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000021F8B1DC [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  60659 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002210C752 [ 39 ADV_IND         crc=1 sig=    83/128 len=46 t= 102421 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002211B7DA [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t=  17757 AdvA=CCB11A8AC6F5 content=%UB@O$ W
000000002229C3CE [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t=  79858 AdvA=CCB11A8AC6F5 content=%uB@O1$W
00000000223556B0 [ 39 ADV_IND         crc=1 sig=    83/128 len=46 t=  52045 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000223628A2 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  12808 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000224129E6 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  37076 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000022566250 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  91134 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002258CDF0 [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  10738 AdvA=78BDBCCFAB3E content=%>xuBx>z:
