00000000314A1B2E [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=350056871 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000315676C6 [ 38 ADV_IND         crc=1 sig=    74/128 len=46 t=  52574 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000003161CD74 [ 38 ADV_IND         crc=1 sig=    44/128 len=46 t=  51294 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000003178B0DE [ 38 ADV_IND         crc=1 sig=    44/128 len=46 t=  98001 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000317BE482 [ 38 ADV_IND         crc=1 sig=    75/128 len=46 t=   4042 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000003187D8FA [ 38 RESERVED7       crc=0 sig=     8/128 len=29 t=  55620
0000000031BC39D4 [ 38 ADV_IND         crc=0 sig=    44/128 len=46 t= 235400 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000031C36560 [ 38 ADV_IND         crc=1 sig=    75/128 len=46 t=  19593 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000031D53244 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  86261 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000031E7F25C [ 38 ADV_IND         crc=1 sig=    72/128 len=46 t=  68740 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000031EC5FC0 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  16962 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000320DC9FA [ 38 ADV_IND         crc=1 sig=    73/128 len=46 t= 134409 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000321A6518 [ 38 ADV_IND         crc=1 sig=    45/128 len=46 t=  62710 AdvA=CCB11A8AC6F5 content=%uB@O$W
libusb_control_transfer: HACKRF_VENDOR_REQUEST_BTLE_CHANNEL: 37
00000000323172D6 [ 37 ADV_IND         crc=1 sig=    77/128 len=46 t=  94007 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000003231E28C [ 37 ADV_IND         crc=1 sig=    38/128 len=46 t=  14648 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000324AE8AC [ 37 ADV_IND         crc=0 sig=    37/128 len=46 t=  85698 AdvA=CCB19A8AC6F5 content=%uB`O$W
